"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0000228;Профиль стоечный  ПС2  50x50   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;9405;9207;41;;;шт;4658;0;Стоечные профили имеют С-образную форму и служаткак правилов качестве вертикальных стоек каркасовпредназначенных для гипсокартонных перегородок и облицовок. Применяется для устройства каркасов межкомнатных перегородокоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО)"
"Б0000229;Профиль стоечный  ПС2  75x50   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;12540;12276;8;;;шт;4668;0;Стоечные профили имеют С-образную форму и служаткак правилов качестве вертикальных стоек каркасовпредназначенных для гипсокартонных перегородок и облицовок. Применяется для устройства каркасов межкомнатных перегородокоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО)"
"Б0000230;Профиль стоечный ПС6  100x50  3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;12825;12555;11;;;шт;100_50;0;Стоечные профили имеют С-образную форму и служаткак правилов качестве вертикальных стоек каркасовпредназначенных для гипсокартонных перегородок и облицовок. Применяется для устройства каркасов межкомнатных перегородокоблицовок и других конструкций на основе (ГКЛГКЛВГКЛВО)"
"Б0000238;Профиль углозащитный алюминиевый 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;1995;1953;376;;;шт;ugolokalum;0;"
"Б0000239;Профиль углозащитный оцинкованный 20*20  3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;2185;2139;121;;;шт;sd_00186;0;"
"Б0000234;Соединитель КРАБ профилей 1-уровневый П60*27 (толщина 0.8мм);Гипсокартон и Комплектующие;Профиль для гипсокартона;;760;744;600;;;шт;krab;0;Предназначен для крепления несущих отрезков потолочного профиля к основным профилям в подвесном потолке. Применяется с профилем ПП 60/27."
"Б0000334;Угол арочный 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;2660;2604;0.01;;;шт;arochni;0;"
"Б0000235;Удлинитель для профиля потолочного 60х27мм;Гипсокартон и Комплектующие;Профиль для гипсокартона;;352;345;50;;;шт;udlinitel;0;Служит для соединения (наращивания) потолочных профилей и применяется с профилем ПП 60/27."
"Б0000188;Поликарбонат сотовый 4 мм изумрудный 21*12мУФ- защитаКронос;Для Дома и Дачи;Поликарбонат;;532000;520800;1;;;шт;izumrud;0;"
"Б0003049;Поликарбонат сотовый 4 мм красный 21*12мУФ - защитаКронос;Для Дома и Дачи;Поликарбонат;;532000;520800;0.5;;;шт;krasn;0;"
"ДХ1547;Поликарбонат сотовый 4 мм оранжевый 21*12мУФ- защитаКронос;Для Дома и Дачи;Поликарбонат;;266000;260400;1;;;шт;orang;0;"
"Б0002256;Поликарбонат сотовый 4 мм прозрачный 21*6мУФ- защитаКронос;Для Дома и Дачи;Поликарбонат;;189200;189200;7;;;шт;prozrach;0;"
"Б0000897;Профиль Кронос соед. H=4 ммL=6прозр.;Для Дома и Дачи;Поликарбонат;;27075;26505;3;;;шт;;0;"
"Б0003334;Профиль Кронос торцевой П 4мм L=21 мпрозр.;Для Дома и Дачи;Поликарбонат;;4275;4185;2;;;шт;;0;"
"Б0002509;Термошайба ТШ-4 бесцветная прозр.поликарбонат;Для Дома и Дачи;Поликарбонат;;1000;1000;100;;;шт;;0;"
"Б0000108;Диск отрезной по камню 115*25*22;Инструменты;Расходники;Абразивный инструмент;2280;2232;39;;;шт;4675;0;"
"Б0000107;Диск отрезной по камню 125*25*22;Инструменты;Расходники;Абразивный инструмент;2660;2604;27;;;шт;;0;"
"Б0002432;Диск отрезной по камню 180*25*22;Инструменты;Расходники;Абразивный инструмент;3990;3906;60;;;шт;;0;"
"Б0000147;Диск отрезной по камню 200*25*22;Инструменты;Расходники;Абразивный инструмент;4085;3999;36;;;шт;;0;"
"Б0001298;Диск отрезной по камню 230*25*22;Инструменты;Расходники;Абразивный инструмент;5985;5859;32;;;шт;4672;0;"
"Б0000148;Диск отрезной по металлу 115*25*22;Инструменты;Расходники;Абразивный инструмент;2470;2418;21;;;шт;;0;"
"Б0000142;Диск отрезной по металлу 125*25*22;Инструменты;Расходники;Абразивный инструмент;3135;3069;70;;;шт;4674;0;"
